,Destination,Relation,_,Source
2411, Software Testing,Skill,,Software engineer
2412, Statistical Programming,Skill,,Software engineer
2413, Strategy and Operations,Skill,,Software engineer
2414, Supply Chain and Logistics,Skill,,Software engineer
2415, System Programming,Skill,,Software engineer
2416, Systems Design,Skill,,Software engineer
2417, Theoretical Computer Science,Skill,,Software engineer
2418, Web Development,Skill,,Software engineer
2419, Algorithms,Skill,,Software engineer
2420, Application Development,Skill,,Software engineer
2421, Communication,Skill,,Software engineer
2422, Computational Logic,Skill,,Software engineer
2423, Computer Architecture,Skill,,Software engineer
2424, Computer Programming,Skill,,Software engineer
2425, Computer Programming Tools,Skill,,Software engineer
2426, Data Management,Skill,,Software engineer
2427, Data Structures,Skill,,Software engineer
2428, Front-End Web Development,Skill,,Software engineer
2429, HTML and CSS,Skill,,Software engineer
2430, Hardware Design,Skill,,Software engineer
2431, Human Computer Interaction,Skill,,Software engineer
2432, Javascript,Skill,,Software engineer
2433, Journalism,Skill,,Software engineer
2434, Mathematical Theory & Analysis,Skill,,Software engineer
2435, Mathematics,Skill,,Software engineer
2436, Mobile Development,Skill,,Software engineer
2437, Mobile Development Tools,Skill,,Software engineer
2438, Operations Research,Skill,,Software engineer
2439, Other Web Frameworks,Skill,,Software engineer
2440, Programming Principles,Skill,,Software engineer
2441, React (web framework),Skill,,Software engineer
2442, Research and Design,Skill,,Software engineer
2443, Software Architecture,Skill,,Software engineer
2444, Software Engineering,Skill,,Software engineer
2445, Software Engineering Tools,Skill,,Software engineer
2446, Software Testing,Skill,,Software engineer
2447, Strategy and Operations,Skill,,Software engineer
2448, Theoretical Computer Science,Skill,,Software engineer
2449, User Experience,Skill,,Software engineer
2450, Web Design,Skill,,Software engineer
2451, Web Development,Skill,,Software engineer
2452, Application Development,Skill,,Software engineer
2453, Back-End Web Development,Skill,,Software engineer
2454, BlockChain,Skill,,Software engineer
2455, Cloud Applications,Skill,,Software engineer
2456, Cloud Computing,Skill,,Software engineer
2457, Cloud Foundry,Skill,,Software engineer
2458, Cloud Infrastructure,Skill,,Software engineer
2459, Cloud Platforms,Skill,,Software engineer
2460, Cloud Storage,Skill,,Software engineer
2461, Computational Logic,Skill,,Software engineer
2462, Computer Architecture,Skill,,Software engineer
2463, Computer Graphics,Skill,,Software engineer
2464, Computer Networking,Skill,,Software engineer
2465, Computer Programming,Skill,,Software engineer
2466, Computer Programming Tools,Skill,,Software engineer
2467, Continuous Delivery,Skill,,Software engineer
2468, Continuous Integration,Skill,,Software engineer
2469, Data Management,Skill,,Software engineer
2470, Database Administration,Skill,,Software engineer
2471, Database Application,Skill,,Software engineer
2472, Database Design,Skill,,Software engineer
2473, Databases,Skill,,Software engineer
2474, DevOps,Skill,,Software engineer
2475, Devops Tools,Skill,,Software engineer
2476, Distributed Computing Architecture,Skill,,Software engineer
2477, Extract,Skill,,Software engineer
2478, Transform,Skill,,Software engineer
2479, Load,Skill,,Software engineer
2480, Finance,Skill,,Software engineer
2481, Front-End Web Development,Skill,,Software engineer
2482, Full-Stack Web Development,Skill,,Software engineer
2483, Github,Skill,,Software engineer
2484, HTML and CSS,Skill,,Software engineer
2485, Human Computer Interaction,Skill,,Software engineer
2486, IBM Cloud,Skill,,Software engineer
2487, Interactive Design,Skill,,Software engineer
2488, Javascript,Skill,,Software engineer
2489, Kubernetes,Skill,,Software engineer
2490, Mathematical Theory & Analysis,Skill,,Software engineer
2491, Mathematics,Skill,,Software engineer
2492, Network Architecture,Skill,,Software engineer
2493, Network Security,Skill,,Software engineer
2494, NoSQL,Skill,,Software engineer
2495, Operating Systems,Skill,,Software engineer
2496, Other Web Frameworks,Skill,,Software engineer
2497, Python Programming,Skill,,Software engineer
2498, React (web framework),Skill,,Software engineer
2499, SQL,Skill,,Software engineer
2500, Security Engineering,Skill,,Software engineer
2501, Software,Skill,,Software engineer
2502, Software Architecture,Skill,,Software engineer
2503, Software As A Service,Skill,,Software engineer
2504, Software Engineering,Skill,,Software engineer
2505, Software Framework,Skill,,Software engineer
2506, Software Testing,Skill,,Software engineer
2507, Statistical Programming,Skill,,Software engineer
2508, System Programming,Skill,,Software engineer
2509, Systems Design,Skill,,Software engineer
2510, Theoretical Computer Science,Skill,,Software engineer
2511, Web Design,Skill,,Software engineer
2512, Web Development,Skill,,Software engineer
2513, Web Development Tools,Skill,,Software engineer
2514,Data Science,Skill,,SQL Data Analyst
2515,Data Analysis,Skill,,SQL Data Analyst
2516,Sqlite,Skill,,SQL Data Analyst
2517,SQL,Skill,,SQL Data Analyst
2518,Data Science,Skill,,SQL Data Analyst
2519,Data Analysis,Skill,,SQL Data Analyst
2520,Sqlite,Skill,,SQL Data Analyst
2521,SQL,Skill,,SQL Data Analyst
2522, Analysis,Skill,,SQL Developer and Support
2523, Apache,Skill,,SQL Developer and Support
2524, Apache Spark,Skill,,SQL Developer and Support
2525, Basic Descriptive Statistics,Skill,,SQL Developer and Support
2526, Big Data,Skill,,SQL Developer and Support
2527, Computer Programming,Skill,,SQL Developer and Support
2528, Data Management,Skill,,SQL Developer and Support
2529, Databases,Skill,,SQL Developer and Support
2530, General Statistics,Skill,,SQL Developer and Support
2531, Leadership and Management,Skill,,SQL Developer and Support
2532, Machine Learning,Skill,,SQL Developer and Support
2533, Probability & Statistics,Skill,,SQL Developer and Support
2534, Python Programming,Skill,,SQL Developer and Support
2535, SQL,Skill,,SQL Developer and Support
2536, Statistical Programming,Skill,,SQL Developer and Support
2537, Algorithms,Skill,,SQL Developer and Support
2538, Application Development,Skill,,SQL Developer and Support
2539, Bias,Skill,,SQL Developer and Support
2540, Big Data,Skill,,SQL Developer and Support
2541, Budget Management,Skill,,SQL Developer and Support
2542, Business Analysis,Skill,,SQL Developer and Support
2543, Business Communication,Skill,,SQL Developer and Support
2544, Change Management,Skill,,SQL Developer and Support
2545, Cloud Computing,Skill,,SQL Developer and Support
2546, Communication,Skill,,SQL Developer and Support
2547, Computational Logic,Skill,,SQL Developer and Support
2548, Computer Architecture,Skill,,SQL Developer and Support
2549, Computer Networking,Skill,,SQL Developer and Support
2550, Computer Programming,Skill,,SQL Developer and Support
2551, Computer Programming Tools,Skill,,SQL Developer and Support
2552, Cryptography,Skill,,SQL Developer and Support
2553, Data Analysis,Skill,,SQL Developer and Support
2554, Data Analysis Software,Skill,,SQL Developer and Support
2555, Data Management,Skill,,SQL Developer and Support
2556, Data Mining,Skill,,SQL Developer and Support
2557, Data Model,Skill,,SQL Developer and Support
2558, Data Structures,Skill,,SQL Developer and Support
2559, Data Visualization,Skill,,SQL Developer and Support
2560, Data Visualization Software,Skill,,SQL Developer and Support
2561, Database Administration,Skill,,SQL Developer and Support
2562, Database Design,Skill,,SQL Developer and Support
2563, Databases,Skill,,SQL Developer and Support
2564, Decision Making,Skill,,SQL Developer and Support
2565, Design and Product,Skill,,SQL Developer and Support
2566, Distributed Computing Architecture,Skill,,SQL Developer and Support
2567, Entrepreneurship,Skill,,SQL Developer and Support
2568, Extract,Skill,,SQL Developer and Support
2569, Transform,Skill,,SQL Developer and Support
2570, Load,Skill,,SQL Developer and Support
2571, Feature Engineering,Skill,,SQL Developer and Support
2572, Finance,Skill,,SQL Developer and Support
2573, Financial Analysis,Skill,,SQL Developer and Support
2574, Full-Stack Web Development,Skill,,SQL Developer and Support
2575, General Statistics,Skill,,SQL Developer and Support
2576, Interactive Data Visualization,Skill,,SQL Developer and Support
2577, Leadership and Management,Skill,,SQL Developer and Support
2578, Machine Learning,Skill,,SQL Developer and Support
2579, Mathematical Theory & Analysis,Skill,,SQL Developer and Support
2580, Mathematics,Skill,,SQL Developer and Support
2581, Network Security,Skill,,SQL Developer and Support
2582, Other Programming Languages,Skill,,SQL Developer and Support
2583, Plot (Graphics),Skill,,SQL Developer and Support
2584, Privacy,Skill,,SQL Developer and Support
2585, Probability & Statistics,Skill,,SQL Developer and Support
2586, Problem Solving,Skill,,SQL Developer and Support
2587, Product Design,Skill,,SQL Developer and Support
2588, Programming Principles,Skill,,SQL Developer and Support
2589, Project Management,Skill,,SQL Developer and Support
2590, R Programming,Skill,,SQL Developer and Support
2591, Research and Design,Skill,,SQL Developer and Support
2592, SQL,Skill,,SQL Developer and Support
2593, Security,Skill,,SQL Developer and Support
2594, Security Engineering,Skill,,SQL Developer and Support
2595, Security Strategy,Skill,,SQL Developer and Support
2596, Small Data,Skill,,SQL Developer and Support
2597, Software Engineering,Skill,,SQL Developer and Support
2598, Software Security,Skill,,SQL Developer and Support
2599, Spreadsheet Software,Skill,,SQL Developer and Support
2600, Statistical Analysis,Skill,,SQL Developer and Support
2601, Statistical Programming,Skill,,SQL Developer and Support
2602, Storytelling,Skill,,SQL Developer and Support
2603, Strategy and Operations,Skill,,SQL Developer and Support
2604, Theoretical Computer Science,Skill,,SQL Developer and Support
2605, Visual Design,Skill,,SQL Developer and Support
2606, Web Development,Skill,,SQL Developer and Support
2607, SQL,Skill,,SQL Developer and Support
2608, Databases,Skill,,SQL Developer and Support
2609, Analysis,Skill,,SQL Developer and Support
2610, Statistical Programming,Skill,,SQL Developer and Support
2611, Data Management,Skill,,SQL Developer and Support
2612,Debugging,Skill,,Support Engineer
2613,Encryption Algorithms and Techniques,Skill,,Support Engineer
2614,Customer Service,Skill,,Support Engineer
2615,Network Protocols,Skill,,Support Engineer
2616,Cloud Computing,Skill,,Support Engineer
2617,Binary Code,Skill,,Support Engineer
2618,Debugging,Skill,,Support Engineer
2619,Encryption Algorithms and Techniques,Skill,,Support Engineer
2620,Customer Service,Skill,,Support Engineer
2621,Network Protocols,Skill,,Support Engineer
2622,Cloud Computing,Skill,,Support Engineer
2623,Binary Code,Skill,,Support Engineer
2624,Directory Service,Skill,,Sys Admin
2625,Lightweight Directory Access Protocol (LDAP),Skill,,Sys Admin
2626,Backup,Skill,,Sys Admin
2627,Business analysis skills and knowledge,Skill,,System Analyst
2628,Management,Skill,,System Analyst
2629,Project management skills and knowledge,Skill,,System Analyst
2630,Vision Alignment,Skill,,Team Lead
2631,Talent Management,Skill,,Team Lead
2632,Goals and Rewards,Skill,,Team Lead
2633,Motivate Employees,Skill,,Team Lead
2634,Leadership,Skill,,Team Lead
2635,goal setting,Skill,,Team Lead
2636,Communication,Skill,,Team Lead
2637,Leadership Development,Skill,,Team Lead
2638,Onboarding,Skill,,Team Lead
2639,Coaching,Skill,,Team Lead
2640,Recruitment,Skill,,Team Lead
2641,Management,Skill,,Team Lead
2642,Vision Alignment,Skill,,Team Leader
2643,Talent Management,Skill,,Team Leader
2644,Goals and Rewards,Skill,,Team Leader
2645,Motivate Employees,Skill,,Team Leader
2646,Leadership,Skill,,Team Leader
2647,goal setting,Skill,,Team Leader
2648,Communication,Skill,,Team Leader
2649,Vision Alignment,Skill,,Team leader
2650,Talent Management,Skill,,Team leader
2651,Goals and Rewards,Skill,,Team leader
2652,Motivate Employees,Skill,,Team leader
2653,Leadership,Skill,,Team leader
2654,goal setting,Skill,,Team leader
2655,Communication,Skill,,Team leader
2656,Vision Alignment,Skill,,Team manager
2657,Talent Management,Skill,,Team manager
2658,Goals and Rewards,Skill,,Team manager
2659,Motivate Employees,Skill,,Team manager
2660,Leadership,Skill,,Team manager
2661,goal setting,Skill,,Team manager
2662,Communication,Skill,,Team manager
2663, Communication,Skill,,Test Engineer
2664, Computer Programming,Skill,,Test Engineer
2665, Computer Programming Tools,Skill,,Test Engineer
2666, Java Programming,Skill,,Test Engineer
2667, Journalism,Skill,,Test Engineer
2668, Mobile Development,Skill,,Test Engineer
2669, Programming Principles,Skill,,Test Engineer
2670, Software,Skill,,Test Engineer
2671, Software Engineering,Skill,,Test Engineer
2672, Software Testing,Skill,,Test Engineer
2673, Unit Testing,Skill,,Test Engineer
2674, Software Engineering,Skill,,Test Engineer
2675, Computer Programming Tools,Skill,,Test Engineer
2676, Software Testing,Skill,,Test Engineer
2677, Mobile Development,Skill,,Test Engineer
2678, Unit Testing,Skill,,Test Engineer
2679, Computer Programming,Skill,,Test Engineer
2680, Java Programming,Skill,,Test Engineer
2681, Software,Skill,,Test Engineer
2682, Application Development,Skill,,Test Engineer
2683, Cloud Computing,Skill,,Test Engineer
2684, Cloud Platforms,Skill,,Test Engineer
2685, Computational Logic,Skill,,Test Engineer
2686, Computational Thinking,Skill,,Test Engineer
2687, Computer Programming,Skill,,Test Engineer
2688, Computer Programming Tools,Skill,,Test Engineer
2689, Data Structures,Skill,,Test Engineer
2690, Debugging,Skill,,Test Engineer
2691, Github,Skill,,Test Engineer
2692, Google Cloud Platform,Skill,,Test Engineer
2693, Leadership and Management,Skill,,Test Engineer
2694, Mathematical Theory & Analysis,Skill,,Test Engineer
2695, Mathematics,Skill,,Test Engineer
2696, Other Programming Languages,Skill,,Test Engineer
2697, Programming Principles,Skill,,Test Engineer
2698, Python Programming,Skill,,Test Engineer
2699, Software,Skill,,Test Engineer
2700, Software Engineering,Skill,,Test Engineer
2701, Software Engineering Tools,Skill,,Test Engineer
2702, Software Testing,Skill,,Test Engineer
2703, Statistical Programming,Skill,,Test Engineer
2704, Test Automation,Skill,,Test Engineer
2705, Theoretical Computer Science,Skill,,Test Engineer
2706, Version Control,Skill,,Test Engineer
2707, Communication,Skill,,Test engineer
2708, Computer Programming,Skill,,Test engineer
2709, Computer Programming Tools,Skill,,Test engineer
2710, Java Programming,Skill,,Test engineer
2711, Journalism,Skill,,Test engineer
2712, Mobile Development,Skill,,Test engineer
2713, Programming Principles,Skill,,Test engineer
2714, Software,Skill,,Test engineer
2715, Software Engineering,Skill,,Test engineer
2716, Software Testing,Skill,,Test engineer
2717, Unit Testing,Skill,,Test engineer
2718, Software Engineering,Skill,,Test engineer
2719, Computer Programming Tools,Skill,,Test engineer
2720, Software Testing,Skill,,Test engineer
2721, Mobile Development,Skill,,Test engineer
2722, Unit Testing,Skill,,Test engineer
2723, Computer Programming,Skill,,Test engineer
2724, Java Programming,Skill,,Test engineer
2725, Software,Skill,,Test engineer
2726, Application Development,Skill,,Test engineer
2727, Cloud Computing,Skill,,Test engineer
2728, Cloud Platforms,Skill,,Test engineer
2729, Computational Logic,Skill,,Test engineer
2730, Computational Thinking,Skill,,Test engineer
2731, Computer Programming,Skill,,Test engineer
2732, Computer Programming Tools,Skill,,Test engineer
2733, Data Structures,Skill,,Test engineer
2734, Debugging,Skill,,Test engineer
2735, Writing Defect Reports,Skill,,Test engineer
2736, Google Cloud Platform,Skill,,Test engineer
2737, Leadership and Management,Skill,,Test engineer
2738, Mathematical Theory & Analysis,Skill,,Test engineer
2739, Mathematics,Skill,,Test engineer
2740, Other Programming Languages,Skill,,Test engineer
2741, Programming Principles,Skill,,Test engineer
2742, Python Programming,Skill,,Test engineer
2743, Black-box Testing Techniques,Skill,,Test engineer
2744, White-box Testing Techniques,Skill,,Test engineer
2745, Software Engineering Tools,Skill,,Test engineer
2746, Unit Testing,Skill,,Test engineer
2747, Statistical Programming,Skill,,Test engineer
2748, Test Automation,Skill,,Test engineer
2749, Theoretical Computer Science,Skill,,Test engineer
2750, Version Control,Skill,,Test engineer
2751, .Properties,Skill,,Test Lead
2752, Communication,Skill,,Test Lead
2753, Computer Programming,Skill,,Test Lead
2754, Computer Programming Tools,Skill,,Test Lead
2755, Java Programming,Skill,,Test Lead
2756, Journalism,Skill,,Test Lead
2757, Mobile Development,Skill,,Test Lead
2758, Programming Principles,Skill,,Test Lead
2759, Software,Skill,,Test Lead
2760, Software Engineering,Skill,,Test Lead
2761, Software Testing,Skill,,Test Lead
2762, Unit Testing,Skill,,Test Lead
2763, Software Engineering,Skill,,Test Lead
2764, Computer Programming Tools,Skill,,Test Lead
2765, Software Testing,Skill,,Test Lead
2766, Mobile Development,Skill,,Test Lead
2767, Unit Testing,Skill,,Test Lead
2768, Computer Programming,Skill,,Test Lead
2769, Java Programming,Skill,,Test Lead
2770, Software,Skill,,Test Lead
2771, Application Development,Skill,,Test Lead
2772, Cloud Computing,Skill,,Test Lead
2773, Cloud Platforms,Skill,,Test Lead
2774, Computational Logic,Skill,,Test Lead
2775, Computational Thinking,Skill,,Test Lead
2776, Computer Programming,Skill,,Test Lead
2777, Computer Programming Tools,Skill,,Test Lead
2778, Data Structures,Skill,,Test Lead
2779, Debugging,Skill,,Test Lead
2780, Github,Skill,,Test Lead
2781, Google Cloud Platform,Skill,,Test Lead
2782, Leadership and Management,Skill,,Test Lead
2783, Mathematical Theory & Analysis,Skill,,Test Lead
2784, Mathematics,Skill,,Test Lead
2785, Other Programming Languages,Skill,,Test Lead
2786, Programming Principles,Skill,,Test Lead
2787, Python Programming,Skill,,Test Lead
2788, Software,Skill,,Test Lead
2789, Software Engineering,Skill,,Test Lead
2790, Software Engineering Tools,Skill,,Test Lead
2791, Software Testing,Skill,,Test Lead
2792, Statistical Programming,Skill,,Test Lead
2793, Test Automation,Skill,,Test Lead
2794, Theoretical Computer Science,Skill,,Test Lead
2795, Version Control,Skill,,Test Lead
2796, .Properties,Skill,,Test Lead
2797, Communication,Skill,,Test Lead
2798, Computer Programming,Skill,,Test Lead
2799, Computer Programming Tools,Skill,,Test Lead
2800, Java Programming,Skill,,Test Lead
2801, Journalism,Skill,,Test Lead
2802, Mobile Development,Skill,,Test Lead
2803, Programming Principles,Skill,,Test Lead
2804, Software,Skill,,Test Lead
2805, Software Engineering,Skill,,Test Lead
2806, Software Testing,Skill,,Test Lead
2807, Unit Testing,Skill,,Test Lead
2808, Software Engineering,Skill,,Test Lead
2809, Computer Programming Tools,Skill,,Test Lead
2810, Software Testing,Skill,,Test Lead
2811, Mobile Development,Skill,,Test Lead
2812, Unit Testing,Skill,,Test Lead
2813, Computer Programming,Skill,,Test Lead
2814, Java Programming,Skill,,Test Lead
2815, Software,Skill,,Test Lead
2816, Application Development,Skill,,Test Lead
2817, Cloud Computing,Skill,,Test Lead
2818, Cloud Platforms,Skill,,Test Lead
2819, Computational Logic,Skill,,Test Lead
2820, Computational Thinking,Skill,,Test Lead
2821, Computer Programming,Skill,,Test Lead
2822, Computer Programming Tools,Skill,,Test Lead
2823, Data Structures,Skill,,Test Lead
2824, Debugging,Skill,,Test Lead
2825, Github,Skill,,Test Lead
2826, Google Cloud Platform,Skill,,Test Lead
2827, Leadership and Management,Skill,,Test Lead
2828, Mathematical Theory & Analysis,Skill,,Test Lead
2829, Mathematics,Skill,,Test Lead
2830, Other Programming Languages,Skill,,Test Lead
2831, Programming Principles,Skill,,Test Lead
2832, Python Programming,Skill,,Test Lead
2833, Software,Skill,,Test Lead
2834, Software Engineering,Skill,,Test Lead
2835, Software Engineering Tools,Skill,,Test Lead
2836, Software Testing,Skill,,Test Lead
2837, Statistical Programming,Skill,,Test Lead
2838, Test Automation,Skill,,Test Lead
2839, Theoretical Computer Science,Skill,,Test Lead
2840, Version Control,Skill,,Test Lead
2841, Communication,Skill,,tester
2842, Computer Programming,Skill,,tester
2843, Computer Programming Tools,Skill,,tester
2844, Java Programming,Skill,,tester
2845, Journalism,Skill,,tester
2846, Mobile Development,Skill,,tester
2847, Programming Principles,Skill,,tester
2848, Software,Skill,,tester
2849, Software Engineering,Skill,,tester
2850, Software Testing,Skill,,tester
2851, Unit Testing,Skill,,tester
2852, Software Engineering,Skill,,tester
2853, Computer Programming Tools,Skill,,tester
2854, Software Testing,Skill,,tester
2855, Mobile Development,Skill,,tester
2856, Unit Testing,Skill,,tester
2857, Computer Programming,Skill,,tester
2858, Java Programming,Skill,,tester
2859, Software,Skill,,tester
2860, Application Development,Skill,,tester
2861, Cloud Computing,Skill,,tester
2862, Cloud Platforms,Skill,,tester
2863, Computational Logic,Skill,,tester
2864, Computational Thinking,Skill,,tester
2865, Computer Programming,Skill,,tester
2866, Computer Programming Tools,Skill,,tester
2867, Data Structures,Skill,,tester
2868, Debugging,Skill,,tester
2869, Github,Skill,,tester
2870, Google Cloud Platform,Skill,,tester
2871, Leadership and Management,Skill,,tester
2872, Mathematical Theory & Analysis,Skill,,tester
2873, Mathematics,Skill,,tester
2874, Other Programming Languages,Skill,,tester
2875, Programming Principles,Skill,,tester
2876, Python Programming,Skill,,tester
2877, Software,Skill,,tester
2878, Software Engineering,Skill,,tester
2879, Software Engineering Tools,Skill,,tester
2880, Software Testing,Skill,,tester
2881, Statistical Programming,Skill,,tester
2882, Test Automation,Skill,,tester
2883, Theoretical Computer Science,Skill,,tester
2884, Version Control,Skill,,tester
2885,Using Version Control,Skill,,testers
2886,Troubleshooting & Debugging,Skill,,testers
2887,Python Programming,Skill,,testers
2888,Configuration Management,Skill,,testers
2889,Automation,Skill,,testers
2890,Basic Python Data Structures,Skill,,testers
2891,Fundamental Programming Concepts,Skill,,testers
2892,Basic Python Syntax,Skill,,testers
2893,Object-Oriented Programming (OOP),Skill,,testers
2894,Setting up your Development Environment,Skill,,testers
2895,Regular Expression (REGEX),Skill,,testers
2896,Testing in Python,Skill,,testers
2897, .Properties,Skill,,testers
2898, Communication,Skill,,testers
2899, Computer Programming,Skill,,testers
2900, Computer Programming Tools,Skill,,testers
2901, Java Programming,Skill,,testers
2902, Journalism,Skill,,testers
2903, Mobile Development,Skill,,testers
2904, Programming Principles,Skill,,testers
2905, Software,Skill,,testers
2906, Software Engineering,Skill,,testers
2907, Software Testing,Skill,,testers
2908, Unit Testing,Skill,,testers
2909, Software Engineering,Skill,,testers
2910, Computer Programming Tools,Skill,,testers
2911, Software Testing,Skill,,testers
2912, Mobile Development,Skill,,testers
2913, Unit Testing,Skill,,testers
2914, Computer Programming,Skill,,testers
2915, Java Programming,Skill,,testers
2916, Software,Skill,,testers
2917, Application Development,Skill,,testers
2918, Cloud Computing,Skill,,testers
2919, Cloud Platforms,Skill,,testers
2920, Computational Logic,Skill,,testers
2921, Computational Thinking,Skill,,testers
2922, Computer Programming,Skill,,testers
2923, Computer Programming Tools,Skill,,testers
2924, Data Structures,Skill,,testers
2925, Debugging,Skill,,testers
2926, Github,Skill,,testers
2927, Google Cloud Platform,Skill,,testers
2928, Leadership and Management,Skill,,testers
2929, Mathematical Theory & Analysis,Skill,,testers
2930, Mathematics,Skill,,testers
2931, Other Programming Languages,Skill,,testers
2932, Programming Principles,Skill,,testers
2933, Python Programming,Skill,,testers
2934, Software,Skill,,testers
2935, Software Engineering,Skill,,testers
2936, Software Engineering Tools,Skill,,testers
2937, Software Testing,Skill,,testers
2938, Statistical Programming,Skill,,testers
2939, Test Automation,Skill,,testers
2940, Theoretical Computer Science,Skill,,testers
2941, Version Control,Skill,,testers
2942,Debugging,Skill,,Trainee
2943,Encryption Algorithms and Techniques,Skill,,Trainee
2944,Customer Service,Skill,,Trainee
2945,Network Protocols,Skill,,Trainee
2946,Cloud Computing,Skill,,Trainee
2947,Binary Code,Skill,,Trainee
2948,Customer Support,Skill,,Trainee
2949,Linux,Skill,,Trainee
2950,Troubleshooting,Skill,,Trainee
2951,Domain Name System (DNS),Skill,,Trainee
2952,Ipv4,Skill,,Trainee
2953,Network Model,Skill,,Trainee
2954,Debugging,Skill,,Trainee
2955,Encryption Algorithms and Techniques,Skill,,Trainee
2956,Customer Service,Skill,,Trainee
2957,Network Protocols,Skill,,Trainee
2958,Cloud Computing,Skill,,Trainee
2959,Binary Code,Skill,,Trainee
2960,Website Wireframe,Skill,,UI Designer
2961,strategy,Skill,,UI Designer
2962,User Interface Design (UI Design),Skill,,UI Designer
2963,User Experience (UX),Skill,,UI Designer
2964,User Research,Skill,,UI Designer
2965,Graphic Design,Skill,,UI Designer
2966,Adobe XD,Skill,,UI Designer
2967,User Experience (UX),Skill,,UI Designer
2968,UX Research,Skill,,UI Designer
2969,Wireframe,Skill,,UI Designer
2970,Prototype,Skill,,UI Designer
2971,User Experience Design (UXD),Skill,,UI Designer
2972,Usability Testing,Skill,,UI Designer
2973,mockup,Skill,,UI Designer
2974,Figma,Skill,,UI Designer
2975,Adobe XD,Skill,,UI Designer
2976,UX design jobs,Skill,,UI Designer
2977, HTML and CSS,Skill,,Web Developer
2978, Web Development,Skill,,Web Developer
2979, Web,Skill,,Web Developer
2980, CSS,Skill,,Web Developer
2981, Html,Skill,,Web Developer
2982, Computer Graphics,Skill,,Web Developer
2983, Computer Programming,Skill,,Web Developer
2984, HTML and CSS,Skill,,Web Developer
2985, Human Computer Interaction,Skill,,Web Developer
2986, Interactive Design,Skill,,Web Developer
2987, Javascript,Skill,,Web Developer
2988, Network Security,Skill,,Web Developer
2989, Programming Principles,Skill,,Web Developer
2990, Web Design,Skill,,Web Developer
2991, Web Development,Skill,,Web Developer
2992, Application Development,Skill,,Web Developer
2993, Back-End Web Development,Skill,,Web Developer
2994, BlockChain,Skill,,Web Developer
2995, Cloud Applications,Skill,,Web Developer
2996, Cloud Computing,Skill,,Web Developer
2997, Cloud Foundry,Skill,,Web Developer
2998, Cloud Infrastructure,Skill,,Web Developer
2999, Cloud Platforms,Skill,,Web Developer
3000, Cloud Storage,Skill,,Web Developer
3001, Computational Logic,Skill,,Web Developer
3002, Computer Architecture,Skill,,Web Developer
3003, Computer Graphics,Skill,,Web Developer
3004, Computer Networking,Skill,,Web Developer
3005, Computer Programming,Skill,,Web Developer
3006, Computer Programming Tools,Skill,,Web Developer
3007, Continuous Delivery,Skill,,Web Developer
3008, Continuous Integration,Skill,,Web Developer
3009, Data Management,Skill,,Web Developer
3010, Database Administration,Skill,,Web Developer
3011, Database Application,Skill,,Web Developer
3012, Database Design,Skill,,Web Developer
3013, Databases,Skill,,Web Developer
3014, DevOps,Skill,,Web Developer
3015, Devops Tools,Skill,,Web Developer
3016, Distributed Computing Architecture,Skill,,Web Developer
3017, Extract,Skill,,Web Developer
3018, Transform,Skill,,Web Developer
3019, Load,Skill,,Web Developer
3020, Finance,Skill,,Web Developer
3021, Front-End Web Development,Skill,,Web Developer
3022, Full-Stack Web Development,Skill,,Web Developer
3023, Github,Skill,,Web Developer
3024, HTML and CSS,Skill,,Web Developer
3025, Human Computer Interaction,Skill,,Web Developer
3026, IBM Cloud,Skill,,Web Developer
3027, Interactive Design,Skill,,Web Developer
3028, Javascript,Skill,,Web Developer
3029, Kubernetes,Skill,,Web Developer
3030, Mathematical Theory & Analysis,Skill,,Web Developer
3031, Mathematics,Skill,,Web Developer
3032, Network Architecture,Skill,,Web Developer
3033, Network Security,Skill,,Web Developer
3034, NoSQL,Skill,,Web Developer
3035, Operating Systems,Skill,,Web Developer
3036, Other Web Frameworks,Skill,,Web Developer
3037, Python Programming,Skill,,Web Developer
3038, React (web framework),Skill,,Web Developer
3039, SQL,Skill,,Web Developer
3040, Security Engineering,Skill,,Web Developer
3041, Software,Skill,,Web Developer
3042, Software Architecture,Skill,,Web Developer
3043, Software As A Service,Skill,,Web Developer
3044, Software Engineering,Skill,,Web Developer
3045, Software Framework,Skill,,Web Developer
3046, Software Testing,Skill,,Web Developer
3047, Statistical Programming,Skill,,Web Developer
3048, System Programming,Skill,,Web Developer
3049, Systems Design,Skill,,Web Developer
3050, Theoretical Computer Science,Skill,,Web Developer
3051, Web Design,Skill,,Web Developer
3052, Web Development,Skill,,Web Developer
3053, Web Development Tools,Skill,,Web Developer
